docid,docno,title,rank,query,qid,model
257,260,Star Wars: Episode IV - A New Hope (1977),1,Movies with epic space battles.,1,pipeline_0
5841,5952,"Lord of the Rings: The Two Towers, The (2002)",2,Movies with epic space battles.,1,pipeline_0
7320,7458,Troy (2004),3,Movies with epic space battles.,1,pipeline_0
74510,243642,Zack Snyder's Justice League (2021),4,Movies with epic space battles.,1,pipeline_0
23627,118696,The Hobbit: The Battle of the Five Armies (2014),5,Movies with epic space battles.,1,pipeline_0
7019,7143,"Last Samurai, The (2003)",6,Movies with epic space battles.,1,pipeline_0
2960,3053,"Messenger: The Story of Joan of Arc, The (1999)",7,Movies with epic space battles.,1,pipeline_0
1614,1676,Starship Troopers (1997),8,Movies with epic space battles.,1,pipeline_0
7029,7153,"Lord of the Rings: The Return of the King, The (2003)",9,Movies with epic space battles.,1,pipeline_0
21212,109487,Interstellar (2014),10,Movies with epic space battles.,1,pipeline_0
74510,243642,Zack Snyder's Justice League (2021),1,Movies with epic space battles.,1,pipeline_1
2960,3053,"Messenger: The Story of Joan of Arc, The (1999)",2,Movies with epic space battles.,1,pipeline_1
23627,118696,The Hobbit: The Battle of the Five Armies (2014),3,Movies with epic space battles.,1,pipeline_1
257,260,Star Wars: Episode IV - A New Hope (1977),4,Movies with epic space battles.,1,pipeline_1
7320,7458,Troy (2004),5,Movies with epic space battles.,1,pipeline_1
18360,96193,Captain Video: Master of the Stratosphere (1951),6,Movies with epic space battles.,1,pipeline_1
80251,268934,Sword of the Empire (1964),7,Movies with epic space battles.,1,pipeline_1
65815,213283,Astronaut (2019),8,Movies with epic space battles.,1,pipeline_1
12595,61160,Star Wars: The Clone Wars (2008),9,Movies with epic space battles.,1,pipeline_1
46733,171889,Oasis (2017),10,Movies with epic space battles.,1,pipeline_1
2537,2628,Star Wars: Episode I - The Phantom Menace (1999),1,Movies with epic space battles.,1,pipeline_2
23627,118696,The Hobbit: The Battle of the Five Armies (2014),2,Movies with epic space battles.,1,pipeline_2
5841,5952,"Lord of the Rings: The Two Towers, The (2002)",3,Movies with epic space battles.,1,pipeline_2
7320,7458,Troy (2004),4,Movies with epic space battles.,1,pipeline_2
257,260,Star Wars: Episode IV - A New Hope (1977),5,Movies with epic space battles.,1,pipeline_2
7019,7143,"Last Samurai, The (2003)",6,Movies with epic space battles.,1,pipeline_2
20570,106300,"Day The Earth Froze, The (Sampo) (1959)",7,Movies with epic space battles.,1,pipeline_2
2960,3053,"Messenger: The Story of Joan of Arc, The (1999)",8,Movies with epic space battles.,1,pipeline_2
74510,243642,Zack Snyder's Justice League (2021),9,Movies with epic space battles.,1,pipeline_2
12595,61160,Star Wars: The Clone Wars (2008),10,Movies with epic space battles.,1,pipeline_2
257,260,Star Wars: Episode IV - A New Hope (1977),1,Movies with epic space battles.,1,pipeline_3
5841,5952,"Lord of the Rings: The Two Towers, The (2002)",2,Movies with epic space battles.,1,pipeline_3
2537,2628,Star Wars: Episode I - The Phantom Menace (1999),3,Movies with epic space battles.,1,pipeline_3
23627,118696,The Hobbit: The Battle of the Five Armies (2014),4,Movies with epic space battles.,1,pipeline_3
7019,7143,"Last Samurai, The (2003)",5,Movies with epic space battles.,1,pipeline_3
74510,243642,Zack Snyder's Justice League (2021),6,Movies with epic space battles.,1,pipeline_3
12595,61160,Star Wars: The Clone Wars (2008),7,Movies with epic space battles.,1,pipeline_3
7320,7458,Troy (2004),8,Movies with epic space battles.,1,pipeline_3
55128,189443,Macross: Do You Remember Love? (1984),9,Movies with epic space battles.,1,pipeline_3
18360,96193,Captain Video: Master of the Stratosphere (1951),10,Movies with epic space battles.,1,pipeline_3
257,260,Star Wars: Episode IV - A New Hope (1977),1,Movies with epic space battles.,1,pipeline_4
5841,5952,"Lord of the Rings: The Two Towers, The (2002)",2,Movies with epic space battles.,1,pipeline_4
7320,7458,Troy (2004),3,Movies with epic space battles.,1,pipeline_4
74510,243642,Zack Snyder's Justice League (2021),4,Movies with epic space battles.,1,pipeline_4
23627,118696,The Hobbit: The Battle of the Five Armies (2014),5,Movies with epic space battles.,1,pipeline_4
2960,3053,"Messenger: The Story of Joan of Arc, The (1999)",6,Movies with epic space battles.,1,pipeline_4
15269,80615,Legend of the Guardians: The Owls of Ga'Hoole (2010),7,Movies with epic space battles.,1,pipeline_4
13198,67744,With Fire and Sword (Ogniem i mieczem) (1999),8,Movies with epic space battles.,1,pipeline_4
16899,88959,Michael the Brave (Mihai Viteazul) (1971),9,Movies with epic space battles.,1,pipeline_4
81420,273277,K.G.F: Chapter 2 (2022),10,Movies with epic space battles.,1,pipeline_4
257,260,Star Wars: Episode IV - A New Hope (1977),1,Movies with epic space battles.,1,pipeline_5
5841,5952,"Lord of the Rings: The Two Towers, The (2002)",2,Movies with epic space battles.,1,pipeline_5
7320,7458,Troy (2004),3,Movies with epic space battles.,1,pipeline_5
74510,243642,Zack Snyder's Justice League (2021),4,Movies with epic space battles.,1,pipeline_5
23627,118696,The Hobbit: The Battle of the Five Armies (2014),5,Movies with epic space battles.,1,pipeline_5
7019,7143,"Last Samurai, The (2003)",6,Movies with epic space battles.,1,pipeline_5
2960,3053,"Messenger: The Story of Joan of Arc, The (1999)",7,Movies with epic space battles.,1,pipeline_5
2537,2628,Star Wars: Episode I - The Phantom Menace (1999),8,Movies with epic space battles.,1,pipeline_5
12595,61160,Star Wars: The Clone Wars (2008),9,Movies with epic space battles.,1,pipeline_5
13198,67744,With Fire and Sword (Ogniem i mieczem) (1999),10,Movies with epic space battles.,1,pipeline_5
257,260,Star Wars: Episode IV - A New Hope (1977),1,Movies with epic space battles.,1,pipeline_6
5841,5952,"Lord of the Rings: The Two Towers, The (2002)",2,Movies with epic space battles.,1,pipeline_6
7320,7458,Troy (2004),3,Movies with epic space battles.,1,pipeline_6
74510,243642,Zack Snyder's Justice League (2021),4,Movies with epic space battles.,1,pipeline_6
23627,118696,The Hobbit: The Battle of the Five Armies (2014),5,Movies with epic space battles.,1,pipeline_6
7019,7143,"Last Samurai, The (2003)",6,Movies with epic space battles.,1,pipeline_6
2537,2628,Star Wars: Episode I - The Phantom Menace (1999),7,Movies with epic space battles.,1,pipeline_6
12595,61160,Star Wars: The Clone Wars (2008),8,Movies with epic space battles.,1,pipeline_6
16899,88959,Michael the Brave (Mihai Viteazul) (1971),9,Movies with epic space battles.,1,pipeline_6
